episode/time_to_capture,time/iterations,episode/intruder_caught,episode/time_to_intruder_success,roll100/win_rate,rollout/ep_rew_mean,roll100/intruder_success_rate,time/total_timesteps,roll100/intruder_caught_rate,roll100/time_to_intruder_success_mean,roll100/reward_mean,episode/length,time/fps,roll100/ep_len_mean,roll100/time_to_capture_mean,episode/reward,rollout/ep_len_mean,time/time_elapsed,episode/intruder_success,episode/patroller_win,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_range,train/std,train/clip_fraction,train/explained_variance,eval/mean_ep_length,eval/mean_reward
50.0,1,0.0,7.0,0.85,31.2071533203125,0.15,5120,0.85,29.333333333333332,31.207155549526213,8.0,3966,28.0,25.22222222222222,130.3795928955078,28.0,1,1.0,0.0,,,,,,,,,,,,,
7.0,2,0.0,24.0,0.9,-10.967790603637695,0.1,10240,0.9,28.0,-10.967786898612976,25.0,2727,62.4,60.45,-126.2567138671875,62.4,3,1.0,0.0,-2.8392656485239667,830.561230061849,1.08e-05,15,-9.883527333537737e-05,599.729248046875,8.05374e-06,0.2,1.0013833045959473,0.0,-0.002482891082763672,,
17.0,3,1.0,57.0,0.95,13.696601867675781,0.05,15360,0.95,42.5,13.696604249477387,18.0,2374,38.15,35.25,-110.85221099853516,38.15,6,0.0,1.0,-2.8415744002660115,1122.33083984375,1.08e-05,30,-0.00015303320717066526,474.8331298828125,8.870091e-06,0.2,1.0023186206817627,0.0,-0.0016885995864868164,,
43.0,4,1.0,58.0,0.75,9.850715637207031,0.25,20480,0.75,44.18181818181818,9.8507146692276,44.0,2226,47.75,45.4,-1075.991455078125,47.75,9,0.0,1.0,-2.8435300048192342,1041.8548197428386,1.08e-05,45,-0.00013169450297330817,681.3980712890625,7.947441e-06,0.2,1.003371000289917,0.0,0.0007302165031433105,,
55.0,5,1.0,45.0,0.8,-14.269879341125488,0.2,25600,0.8,38.5,-14.269877696037293,56.0,2171,52.9,57.2,-1100.621826171875,52.9,11,0.0,1.0,-2.845723656018575,1519.0825223795573,1.08e-05,60,-0.0002039315365254879,1288.41748046875,1.0389287e-05,0.2,1.0045102834701538,0.0,-0.002382516860961914,,
74.0,6,1.0,30.0,0.8,3.960360050201416,0.2,30720,0.8,36.75,3.9603614616394043,75.0,2162,28.15,31.9,-1029.37158203125,28.15,14,0.0,1.0,-2.8481950759887695,1178.1841540527344,1.08e-05,75,-0.00023930084658786656,729.3876342773438,1.9153173e-05,0.2,1.0058554410934448,0.0,0.001953601837158203,,
13.0,7,1.0,2.0,0.7,-7.643847465515137,0.3,35840,0.7,40.1,-7.6438495063781735,14.0,2175,58.6,53.95,-170.85263061523438,58.6,16,0.0,1.0,-2.8506760358810426,1047.4415116373698,1.08e-05,90,-0.0002470238677536448,605.7401733398438,1.2817642e-05,0.2,1.0069905519485474,0.0,0.005938291549682617,,
17.0,,1.0,,0.8,,0.2,40000,0.8,40.1,-16.316731629371642,18.0,,45.25,45.1,-167.69195556640625,,,0.0,1.0,-2.853313275973002,999.5121337890625,1.08e-05,105,-0.0001590483565814793,615.46875,1.1235708e-05,0.2,1.0085206031799316,0.0,0.0034175515174865723,80.25,168.6432342529297
58.0,8,1.0,148.0,0.85,-28.943437576293945,0.15,40960,0.85,44.5,-28.943439354896544,59.0,2142,44.0,44.9,-2174.465576171875,44.0,19,0.0,1.0,,,,,,,,,,,,,
13.0,9,1.0,194.0,0.8,-63.88023376464844,0.2,46080,0.8,59.45,-63.88023237705231,14.0,2128,77.15,56.4,-47.73713302612305,77.15,21,0.0,1.0,-2.855856432914734,1396.412869873047,1.08e-05,120,-0.0002144989208318293,613.71435546875,8.168118e-06,0.2,1.0095340013504028,0.0,0.009319603443145752,,
1.0,10,1.0,26.0,0.8,-8.1420259475708,0.2,51200,0.8,68.0,-8.142028620243073,2.0,2101,42.05,37.2,-5.39213752746582,42.05,24,0.0,1.0,-2.858328415552775,1532.2200903320313,1.08e-05,135,-0.00025453787413425743,1052.2071533203125,1.5633192e-05,0.2,1.0110723972320557,0.0,0.00472104549407959,,
