#{"t_start": 1766258973.9258404, "env_id": "None"}
r,l,t
3.109601,2,1.589997
4.1118064,2,1.59097
84.5423,2,1.592042
4.1973248,2,1.592473
-2.0550218,2,1.593096
37.156326,7,1.676782
36.910267,7,1.677288
83.35968,7,1.677941
23.096882,7,1.678565
-58.5013,7,1.679188
118.98561,8,1.691616
14.909717,8,1.69207
31.07172,8,1.692415
17.777151,8,1.692955
11.493725,8,1.693194
2.7252364,2,1.705837
3.9105194,2,1.70616
1.6183534,2,1.706385
81.95751,2,1.706571
-4.980386,2,1.706752
9.6186075,5,1.744334
12.4093895,5,1.745627
98.34857,5,1.745878
9.467363,5,1.746139
5.727009,5,1.74633
162.37851,15,1.767233
28.64905,15,1.767877
31.07165,15,1.768133
26.473444,15,1.768514
75.13356,15,1.769123
30.898602,20,1.816593
34.62247,20,1.817134
215.002,20,1.817512
38.207157,20,1.818064
-9.90462,20,1.81853
37.683144,26,1.873361
128.21434,26,1.8739
43.353,26,1.874438
160.10254,26,1.874804
-100.239426,26,1.875202
18.890303,10,1.911478
25.98271,10,1.911746
20.781563,10,1.911927
131.93474,10,1.912076
-7.475127,10,1.912255
30.682722,17,1.930358
23.969658,17,1.93064
122.46984,17,1.930865
31.269566,17,1.931065
-205.28267,17,1.931284
77.23914,9,1.992275
107.8131,9,1.992615
93.70668,9,1.992917
23.200634,9,1.993235
-180.30524,9,1.993507
171.32928,13,2.049796
21.725607,13,2.050188
23.069038,13,2.050615
30.786644,13,2.050838
-329.68106,13,2.051106
165.75146,27,2.126825
57.048813,27,2.127077
50.668533,27,2.127239
45.747173,27,2.127525
-370.5649,27,2.127806
71.978455,47,2.192117
176.41208,47,2.192454
53.35624,47,2.192695
65.64108,47,2.19295
-856.7435,47,2.193148
175.28038,62,2.216997
325.7707,62,2.2175
145.63092,62,2.217862
126.91761,62,2.218173
-705.68164,62,2.218394
91.044075,61,2.302924
163.85649,61,2.303276
74.33449,61,2.30369
82.3269,61,2.303952
-676.49585,61,2.304194
119.45914,68,2.304423
104.33463,68,2.304647
328.5138,68,2.304868
123.9373,68,2.305091
-1781.3354,68,2.305387
118.561386,16,2.390644
49.154594,16,2.390968
29.134024,16,2.391188
37.32402,16,2.39133
-33.050495,16,2.391491
31.454266,4,2.438766
3.8476593,4,2.439115
5.1556473,4,2.439397
4.9203644,4,2.439602
132.44034,4,2.439783
72.118095,46,2.534581
71.931046,46,2.535005
81.72629,46,2.535227
83.203186,46,2.535403
-1382.455,46,2.535563
168.80096,62,2.633244
169.58105,62,2.633951
126.61958,62,2.634186
198.77264,62,2.634351
-610.4154,62,2.634586
141.42578,56,2.722022
196.13045,56,2.722446
109.78976,56,2.722701
143.23396,56,2.722927
-1356.1521,56,2.723152
73.85712,29,2.744904
39.09204,29,2.74525
35.383095,29,2.745443
125.68232,29,2.745609
-293.9917,29,2.745823
71.893105,43,2.76673
119.63181,43,2.766985
118.44701,43,2.767168
98.48914,43,2.767302
18.900604,43,2.767431
12.3999405,2,2.785905
86.10544,2,2.786147
3.9107792,2,2.786311
2.7352633,2,2.786547
1.0060902,2,2.786808
201.83292,53,2.856651
285.3371,53,2.856948
153.97057,53,2.857129
151.86398,53,2.857267
-417.7144,53,2.857419
20.428436,17,2.883845
32.295586,17,2.884161
53.89235,17,2.88437
109.31194,17,2.884534
-119.72674,17,2.88472
43.327583,18,19.614429
39.437397,18,19.615226
31.717768,18,19.615637
121.0174,18,19.616074
-14.997534,18,19.616526
178.62659,28,19.616939
59.50694,28,19.617554
64.19001,28,19.617919
69.00358,28,19.618382
-46.894688,28,19.618816
46.930016,9,19.654213
108.54582,9,19.656043
16.52322,9,19.656369
15.043134,9,19.656737
-312.1468,9,19.657073
10.420242,4,19.670126
93.48065,4,19.670592
6.8854675,4,19.671186
8.393499,4,19.671772
-3.0473585,4,19.672225
99.62978,8,19.72348
8.32247,8,19.724034
35.02809,8,19.724291
12.030508,8,19.724514
-112.27108,8,19.724955
19.44484,12,19.826433
49.319187,12,19.826791
25.644014,12,19.82705
175.6134,12,19.827249
3.2443314,12,19.827437
320.37375,150,19.888834
295.8062,150,19.889174
305.0864,150,19.889422
387.26953,150,19.889681
123.15647,150,19.889889
78.2065,26,19.914715
154.04163,26,19.915072
49.8564,26,19.915357
62.766903,26,19.915577
110.24968,26,19.915783
87.38911,46,20.027276
69.72784,46,20.027737
57.329433,46,20.028228
77.22358,46,20.028497
-638.6664,46,20.029128
29.052574,10,20.043897
26.583874,10,20.048043
29.25991,10,20.048357
27.64711,10,20.048593
155.63098,10,20.048909
335.64618,104,20.074542
233.5339,104,20.074866
264.22845,104,20.075099
306.42133,104,20.075294
-2011.3925,104,20.075474
30.8339,10,20.179117
129.37024,10,20.179691
17.378431,10,20.18005
23.826786,10,20.180416
33.072998,10,20.180672
41.81059,24,20.205745
36.8455,24,20.208143
46.490448,24,20.208482
49.62404,24,20.208763
-9.081116,24,20.209036
9.961051,6,20.275455
9.4008045,6,20.275818
9.936239,6,20.276069
115.46074,6,20.276249
-145.88185,6,20.276425
118.61107,37,20.300735
94.85027,37,20.301118
86.64413,37,20.30143
160.43825,37,20.301616
141.59616,37,20.301793
129.25499,50,20.301966
103.01181,50,20.302138
203.936,50,20.302357
113.94281,50,20.302552
-1493.2085,50,20.302823
213.86465,16,20.384806
30.162693,16,20.38534
38.04895,16,20.385699
30.652184,16,20.385925
-422.5983,16,20.38614
174.64725,29,20.415087
59.39137,29,20.415614
52.129272,29,20.416099
63.289555,29,20.41631
-396.18192,29,20.416632
88.71522,39,20.571738
81.90988,39,20.572161
182.41537,39,20.57246
92.38053,39,20.572693
-137.98096,39,20.572916
176.25577,17,20.598176
33.095127,17,20.598541
26.504988,17,20.598825
44.492172,17,20.599098
-189.26604,17,20.599387
164.47186,26,20.616689
61.09676,26,20.617269
45.17977,26,20.617582
52.032524,26,20.617825
-632.1473,26,20.618101
262.52298,115,20.618395
290.27823,115,20.618651
368.3516,115,20.61889
259.4453,115,20.61914
-2504.2068,115,20.619425
152.28003,25,20.634865
54.379074,25,20.640033
47.93698,25,20.640469
51.45989,25,20.640813
-603.02954,25,20.641209
81.617134,31,20.709228
143.41449,31,20.712046
47.675755,31,20.71231
82.83316,31,20.712702
-436.88464,31,20.713051
24.853474,11,20.760358
14.958039,11,20.760725
17.478962,11,20.760974
17.4882,11,20.761341
141.81049,11,20.761616
31.445503,13,20.795462
114.50405,13,20.795891
28.729439,13,20.796184
43.744106,13,20.796456
-9.215782,13,20.796682
116.47027,15,20.809763
17.557188,15,20.810122
23.398642,15,20.810387
20.696447,15,20.810582
-183.45439,15,20.810825
128.91002,4,20.84697
10.587263,4,20.847418
10.181011,4,20.847752
45.678528,4,20.848038
-58.999348,4,20.848309
14.817408,9,20.928334
100.37194,9,20.928855
9.735788,9,20.929212
53.30385,9,20.929485
-79.560715,9,20.929749
173.62349,40,20.930027
53.14785,40,20.930521
95.407005,40,20.930866
213.37216,40,20.931183
-397.0856,40,20.931478
13.178703,19,20.999403
105.14839,19,21.00266
20.762878,19,21.003112
16.951468,19,21.003434
-231.84735,19,21.003664
135.44745,13,21.087588
27.668177,13,21.088011
25.534616,13,21.088402
24.514185,13,21.088624
-339.54416,13,21.088829
159.29016,31,21.105698
90.6785,31,21.108053
69.24833,31,21.108479
43.195465,31,21.108821
-221.84048,31,21.109184
102.79793,38,40.825196
64.776596,38,40.826258
80.01298,38,40.82705
77.38057,38,40.82772
-356.9781,38,40.8285
327.27344,138,41.039572
225.88821,138,41.040133
217.52187,138,41.040513
243.01889,138,41.040882
-1845.8634,138,41.041157
237.78906,74,41.075066
152.08224,74,41.075578
129.29565,74,41.075928
196.4702,74,41.076209
-1450.4392,74,41.076644
3.4860368,3,41.093306
6.8887777,3,41.093993
21.490337,3,41.094456
91.843735,3,41.094804
2.3833365,3,41.095148
6.134985,6,41.159647
98.09277,6,41.160033
9.290847,6,41.160257
7.49008,6,41.160458
1.6644268,6,41.160729
106.989075,6,41.227106
14.484159,6,41.227579
5.8435388,6,41.227915
11.0053005,6,41.228171
-9.205348,6,41.228408
163.0621,86,41.254209
219.78445,86,41.254627
192.09747,86,41.254934
423.06195,86,41.255298
-1766.8091,86,41.255658
125.301704,49,41.269078
218.52832,49,41.269421
96.86242,49,41.269825
111.30237,49,41.270139
-271.6222,49,41.270522
85.34154,48,41.270904
269.31097,48,41.271224
72.58571,48,41.271505
126.842445,48,41.271779
-585.58356,48,41.272068
62.682674,36,41.339553
97.392075,36,41.339999
78.388664,36,41.340297
66.567444,36,41.340652
