episode/time_to_intruder_success,time/total_timesteps,episode/reward,roll100/intruder_success_rate,roll100/time_to_capture_mean,episode/time_to_capture,roll100/reward_mean,roll100/win_rate,episode/patroller_win,roll100/intruder_caught_rate,time/iterations,roll100/time_to_intruder_success_mean,rollout/ep_rew_mean,roll100/ep_len_mean,time/fps,episode/intruder_caught,rollout/ep_len_mean,episode/intruder_success,time/time_elapsed,episode/length,train/explained_variance,train/std,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
23.0,5120,-843.5258178710938,0.05,26.5,106.0,17.7004525744915,0.95,1.0,0.95,1,23.0,17.700454711914062,28.45,4287,1.0,28.45,0.0,1,107.0,,,,,,,,,,,,,
61.0,10240,-1495.352294921875,0.15,50.25,86.0,8.170167562961579,0.85,1.0,0.85,2,47.2,8.17016887664795,53.35,3029,1.0,53.35,0.0,3,87.0,-7.87973403930664e-05,1.0014492273330688,0.0,0.2,930.2098234049479,15,1.5780632e-05,1.08e-05,-2.8393304983774823,965.32275390625,-0.00024878334254026414,,
28.0,15360,-1190.4456787109375,0.25,35.9,169.0,-15.596072115898131,0.75,1.0,0.75,3,59.45454545454545,-15.596068382263184,43.85,2666,1.0,43.85,0.0,5,170.0,0.0037583112716674805,1.0023126602172852,0.0,0.2,1303.7283662923178,30,5.5581213e-06,1.08e-05,-2.841629886627197,850.541748046875,-0.00013331221086749186,,
6.0,20480,15.616833686828613,0.2,46.1,9.0,-25.403552069664002,0.8,1.0,0.8,4,58.0625,-25.403547286987305,45.45,2435,1.0,45.45,0.0,8,10.0,0.004577934741973877,1.0037024021148682,0.0,0.2,1277.6181119791668,45,1.749174e-05,1.08e-05,-2.843869989713033,679.4030151367188,-0.00028098999134575325,,
62.0,25600,-751.0563354492188,0.25,39.85,36.0,-32.73202850103378,0.75,1.0,0.75,5,58.55,-32.732032775878906,46.3,2300,1.0,46.3,0.0,11,37.0,-0.0022431612014770508,1.0047502517700195,0.0,0.2,1626.5153629557292,60,7.742876e-06,1.08e-05,-2.846292120615641,1428.0458984375,-0.00018438179550381997,,
2.0,30720,-2.1236774921417236,0.15,60.3,1.0,-44.41860599040985,0.85,1.0,0.85,6,52.55,-44.418601989746094,61.15,2117,1.0,61.15,0.0,14,2.0,0.0011883974075317383,1.006165862083435,0.0,0.2,1606.4395751953125,75,1.31129755e-05,1.08e-05,-2.84870800336202,1026.6282958984375,-0.0001932219734104971,,
93.0,35840,3.915459156036377,0.3,45.65,9.0,-41.247700865268705,0.7,1.0,0.7,7,59.1,-41.247703552246094,48.5,1966,1.0,48.5,0.0,18,10.0,0.007791578769683838,1.0077033042907715,0.0,0.2,1188.5861682128907,90,1.0294735e-05,1.08e-05,-2.851690444946289,990.9442749023438,-0.0001329463623308887,,
35.0,40000,-485.7436218261719,0.2,39.85,21.0,-62.65294376760721,0.8,1.0,0.8,,46.55,,37.65,,1.0,,0.0,,22.0,0.010317027568817139,1.008545994758606,0.0,0.2,1930.2065665690104,105,5.607598e-06,1.08e-05,-2.8540741141637165,1433.459716796875,-0.00017398863565176725,216.2144775390625,73.25
,40960,-2157.349365234375,0.2,40.5,73.0,-52.7114860239625,0.8,1.0,0.8,8,46.55,-52.711483001708984,38.95,1856,1.0,38.95,0.0,22,74.0,,,,,,,,,,,,,
9.0,46080,-2988.7314453125,0.05,47.2,101.0,-69.67213879466057,0.9,1.0,0.9,9,41.2,-69.67213439941406,59.45,1872,1.0,59.45,0.0,24,102.0,0.007065117359161377,1.009993076324463,0.0,0.2,1443.473671875,120,1.2325263e-05,1.08e-05,-2.8562964900334675,1044.535400390625,-0.00019680388388223946,,
48.0,51200,-2601.4375,0.15,51.8,110.0,-37.84791011929512,0.8,1.0,0.8,10,48.6,-37.8479118347168,61.9,1850,1.0,61.9,0.0,27,111.0,0.004818856716156006,1.0117746591567993,0.0,0.2,1338.6657869466146,135,1.4877529e-05,1.08e-05,-2.8594709904988607,901.487548828125,-0.00023903186510627468,,
37.0,56320,-22.56476593017578,0.25,41.75,3.0,5.11017482817173,0.75,1.0,0.75,11,47.1,5.1101765632629395,37.8,1836,1.0,37.8,0.0,30,4.0,0.0001938343048095703,1.0132100582122803,0.0,0.2,1299.918348795573,150,1.5159126e-05,1.08e-05,-2.862694031397502,996.1627807617188,-0.0002584852472258111,,
81.0,61440,-1038.980224609375,0.2,45.75,77.0,-80.28093003749848,0.8,1.0,0.8,12,46.95,-80.28093719482422,54.75,1815,1.0,54.75,0.0,33,78.0,0.005067944526672363,1.0148818492889404,0.0,0.2,1075.972168782552,165,1.7922652e-05,1.08e-05,-2.8657598718007407,785.0151977539062,-0.00020981038299699623,,
33.0,66560,-1524.9769287109375,0.3,37.6,92.0,-0.5224206218123436,0.7,1.0,0.7,13,47.55,-0.5224206447601318,38.4,1787,1.0,38.4,0.0,37,93.0,0.0035140514373779297,1.016196846961975,0.0,0.2,1326.621103108724,180,1.3108831e-05,1.08e-05,-2.8687236467997232,1028.021240234375,-0.00019782970659434795,,
43.0,71680,-188.59457397460938,0.05,36.5,18.0,-29.85798992395401,0.95,1.0,0.95,14,43.3,-29.857988357543945,38.9,1783,1.0,38.9,0.0,40,19.0,0.008619725704193115,1.0173898935317993,0.0,0.2,1299.4448689778646,195,1.1937576e-05,1.08e-05,-2.871165288289388,900.3770141601562,-0.00013982536115994057,,
2.0,76800,123.35425567626953,0.15,30.0,8.0,-4.4845400094985965,0.85,0.0,0.85,15,44.35,-4.4845404624938965,30.05,1774,0.0,30.05,1.0,43,3.0,0.01283937692642212,1.0189950466156006,0.0,0.2,998.0424633789063,210,2.9528595e-05,1.08e-05,-2.8739088726043702,662.8080444335938,-0.0003159519548838337,,
16.0,80000,-206.78785705566406,0.3,42.4,10.0,-29.378441083729268,0.7,1.0,0.7,,51.9,,44.95,,1.0,,0.0,,11.0,0.009442448616027832,1.0202844142913818,0.0,0.2,1154.3006176757813,225,5.1747156e-05,1.08e-05,-2.8767933559417727,776.0120239257812,-0.0005516048268570255,90.42910766601562,41.5
56.0,81920,-136.92074584960938,0.25,56.5,62.0,-60.16236795246601,0.75,0.0,0.75,16,49.95,-60.162376403808594,62.5,1711,0.0,62.5,1.0,47,57.0,,,,,,,,,,,,,
